code,event,name
COP 28,UN Climate Change Conference November/December 2023 (COP 28),COP28
COP 27,UN Climate Change Conference November 2022 (COP 27),COP27
COP26,UN Climate Change Conference November 2021 (COP 26),COP26
COP 25,UN Climate Change Conference December 2019 (COP 25/CMP 15/CMA 2),COP25
COP 24,UN Climate Change Conference December 2018 (COP 24/CMP 14/CMA 1-3),COP24
COP23,UN Climate Change Conference November 2017 (COP 23/CMP 13/CMA 1-2),COP23
COP22,UN Climate Change Conference November 2016 (COP 22/CMP 12/CMA 1),COP22
COP21,UN Climate Change Conference December 2015 (COP 21/CMP 11),COP21
COP20,COP 20/CMP 10,COP20
COP19,COP 19/ CMP 9,COP19
COP18/CMP8,COP 18/CMP 8,COP18
COP17/CMP7,COP 17/CMP 7,COP17
COP16/CMP6,COP16/CMP 6,COP16
COP15,COP 15 and CMP 5,COP15
COP14,COP14,COP14
COP13,"COP 13, CMP 3, SB 27 &amp; AWG 4",COP13
COP12-MOP2,COP12/MOP2,COP12
COP11-MOP1,COP11/MOP1 (Conference of the Parties serving as the meeting of the Parties - First Session),COP11
COP10,COP10 (The Conference of the Parties - Tenth Session ),COP10
COP9,COP9 (The Conference of the Parties - Ninth Session ),COP09
