,Country_Type,Weight,COP,cop_num
0,Annex II,13.733333333333333,COP28,28
1,International,3.0,COP28,28
2,No match,1.2,COP28,28
3,Non-Annex,6.066666666666666,COP28,28
4,Annex I Only,0.2,COP27,27
5,Annex II,17.066666666666666,COP27,27
6,International,3.0,COP27,27
7,No match,0.8666666666666667,COP27,27
8,Non-Annex,7.866666666666666,COP27,27
9,Annex II,11.933333333333334,COP26,26
10,International,1.0,COP26,26
11,No match,0.2,COP26,26
12,Non-Annex,2.8666666666666667,COP26,26
13,Annex I Only,0.6666666666666666,COP25,25
14,Annex II,14.616666666666667,COP25,25
15,International,3.0,COP25,25
16,No match,0.2,COP25,25
17,Non-Annex,6.516666666666667,COP25,25
18,Annex I Only,0.3333333333333333,COP24,24
19,Annex II,18.083333333333332,COP24,24
20,International,2.0,COP24,24
21,No match,0.3333333333333333,COP24,24
22,Non-Annex,7.25,COP24,24
23,Annex I Only,1.8333333333333333,COP23,23
24,Annex II,19.25,COP23,23
25,International,8.25,COP23,23
26,No match,2.75,COP23,23
27,Non-Annex,3.9166666666666665,COP23,23
28,Annex II,10.5,COP22,22
29,International,1.0,COP22,22
30,No match,5.333333333333333,COP22,22
31,Non-Annex,4.166666666666666,COP22,22
32,Annex II,15.083333333333332,COP21,21
33,International,1.0,COP21,21
34,No match,0.3333333333333333,COP21,21
35,Non-Annex,1.5833333333333333,COP21,21
36,Annex II,9.166666666666666,COP20,20
37,No match,0.5,COP20,20
38,Non-Annex,1.3333333333333333,COP20,20
39,Annex II,11.666666666666666,COP19,19
40,International,1.0,COP19,19
41,No match,0.3333333333333333,COP19,19
42,Non-Annex,1.0,COP19,19
43,Annex I Only,1.0,COP18,18
44,Annex II,13.0,COP18,18
45,International,1.0,COP18,18
46,No match,2.0,COP18,18
47,Non-Annex,4.0,COP18,18
48,Annex II,10.0,COP17,17
49,No match,2.0,COP17,17
50,Non-Annex,3.0,COP17,17
51,Annex II,10.0,COP16,16
52,International,1.0,COP16,16
53,No match,1.0,COP16,16
54,Annex I Only,1.0,COP15,15
55,Annex II,20.0,COP15,15
56,Non-Annex,3.0,COP15,15
57,Annex I Only,1.0,COP14,14
58,Annex II,10.0,COP14,14
59,International,1.0,COP14,14
60,No match,1.0,COP14,14
61,Non-Annex,1.0,COP14,14
62,Annex II,10.0,COP13,13
63,International,4.0,COP13,13
64,Non-Annex,2.0,COP13,13
65,Annex II,9.0,COP12,12
66,International,2.0,COP12,12
67,No match,1.0,COP12,12
68,Non-Annex,1.0,COP12,12
69,Annex II,10.0,COP11,11
70,International,3.0,COP11,11
71,No match,1.0,COP11,11
72,Annex II,5.0,COP10,10
73,Non-Annex,1.0,COP10,10
74,Annex II,5.0,COP09,9
75,No match,1.0,COP09,9
