index,topic,size,x,y
0,redd | forest | deforestation | forests | indigenous,343,11.806703567504883,-5.144649028778076
1,food | agriculture | systems | security | farmers,212,11.561027526855469,-4.897570610046387
2,energy | renewable | clean | efficiency | transition,221,8.132670402526855,20.444772720336914
3,rights | justice | human | law | climate,160,1.1987522840499878,4.332869052886963
4,gender | women | womens | equality | climate,142,1.3919516801834106,4.137825012207031
5,transport | shipping | aviation | emissions | international,121,-0.6666699051856995,6.8217854499816895
6,low | china | carbon | lowcarbon | development,183,-1.4807167053222656,6.484860897064209
7,cdm | projects | project | board | executive,133,6.935731410980225,-0.21396169066429138
8,action | climate | regional | international | subnational,125,-0.72291499376297,7.036632061004639
9,finance | financial | climate | financing | to,172,0.5752373337745667,7.249894618988037
10,youth | young | children | intergenerational | education,107,-1.9715827703475952,-8.38789176940918
11,ocean | oceans | coastal | marine | blue,80,11.283063888549805,-4.683438301086426
12,latin | america | caribbean | in | american,83,-0.8154411911964417,6.885726451873779
13,technology | transfer | technologies | developing | countries,98,8.165515899658203,20.690587997436523
14,biodiversity | naturebased | nbs | nature | solutions,71,11.736297607421875,-5.019090175628662
15,cities | urban | local | city | settlements,83,-0.44944247603416443,6.558797836303711
16,water | management | adaptation | rivers | climate,70,12.605485916137695,-4.912703514099121
17,carbon | markets | market | pricing | mechanisms,81,1.8286877870559692,17.12769889831543
18,just | transition | jobs | unions | green,71,-0.6068973541259766,6.235410213470459
19,fossil | fuel | coal | fuels | transition,70,7.767360687255859,20.25647735595703
20,transparency | mrv | etf | enhanced | framework,56,-0.723492443561554,6.190958023071289
21,indigenous | peoples | inuit | communities | rights,58,1.4240069389343262,4.1053361892700195
22,adaptation | change | climate | to | impacts,104,12.573649406433105,-4.773923873901367
23,us | north | states | california | subnational,51,-1.0522783994674683,6.775704860687256
24,net | zero | netzero | transition | to,72,7.8973774909973145,20.648012161254883
25,ghg | emissions | emission | reduction | mitigation,67,-1.6223021745681763,6.405420303344727
26,displacement | migration | migrants | mobility | human,48,1.0247775316238403,4.500590801239014
27,africa | african | west | adaptation | in,55,12.640462875366211,-4.291744709014893
28,kyoto | protocol | postkyoto | ji | russian,44,-0.8703458905220032,6.425724506378174
29,health | change | climate | mental | public,46,1.158352255821228,4.370667457580566
30,disaster | risk | reduction | early | resilience,51,13.431113243103027,-5.0716233253479
31,equity | stocktake | global | ambition | gst,48,0.45777010917663574,7.105103015899658
32,ndc | ndcs | implementation | of | countries,63,6.864292621612549,-0.28497448563575745
33,leg | adaptation | naps | ldcs | nap,53,6.511724472045898,-0.6377361416816711
34,arctic | ice | cryosphere | melting | rise,35,20.879106521606445,12.046934127807617
35,namas | nama | registry | mrv | design,37,6.307852745056152,-0.8416215777397156
36,arab | region | gulf | in | arid,33,-1.1113064289093018,6.3109283447265625
37,ccs | storage | capture | co2 | carbon,32,1.8158670663833618,17.115570068359375
38,observations | gcos | observation | earth | systematic,33,20.76369285583496,12.162211418151855
39,education | climate | training | change | awareness,41,-2.0077602863311768,-8.351922035217285
40,mountain | mountains | ecosystems | partnership | change,26,12.779617309570312,-4.739765644073486
41,bioenergy | biofuels | biochar | sustainable | gbep,29,7.809946060180664,20.361160278320312
42,communications | parties | nonannex | national | cge,33,6.833079814910889,-0.31584617495536804
43,business | industry | businesses | climate | sector,36,-0.7962343692779541,6.104633331298828
44,article | capacitybuilding | capacity | 64 | building,32,-4.633944511413574,4.3068037033081055
45,damage | loss | and | ld | fund,41,13.834622383117676,-5.125946998596191
46,peatlands | peatland | wetlands | restoration | mangroves,25,11.7238187789917,-5.299102306365967
47,islands | island | pacific | small | sids,31,11.224349021911621,-4.627471923828125
48,gcf | fund | green | funds | gef,29,0.7007929682731628,7.334924697875977
49,paris | agreement | business | implementing | trade,53,-4.576911926269531,4.3634257316589355
50,air | pollutants | shortlived | quality | slcps,23,-0.1786491423845291,6.5014753341674805
51,trading | eu | emissions | scheme | linking,25,1.8570358753204346,17.154869079589844
52,momentum | ict | lighthouse | winners | change,28,-2.389197587966919,-7.97053861618042
53,sports | public | citizens | media | participation,27,-2.1963088512420654,-8.163683891296387
54,fund | adaptation | af | ldcf | projects,30,6.4228034019470215,-0.7268257141113281
55,hadley | centre | met | research | impacts,22,20.904775619506836,12.02125072479248
56,africa | african | development | bank | africas,24,12.613038063049316,-4.210744857788086
57,insurance | risk | reduction | vulnerable | people,23,13.783203125,-5.127059459686279
58,ipcc | report | guidelines | 2006 | refinement,30,-4.44376277923584,4.495538234710693
59,french | frenchspeaking | paris | minister | games,19,-0.3663751482963562,6.903298854827881
60,buildings | built | construction | housing | environment,29,8.256467819213867,20.379873275756836
61,nuclear | power | energy | iaea | projections,18,8.214780807495117,20.101882934570312
62,poverty | africa | energy | east | asia,25,8.304638862609863,20.593002319335938
