Topic,Count,Name,Representation,Representative_Docs
-1,1351,-1_climate_adaptation_change_climate change,"['climate', 'adaptation', 'change', 'climate change', 'event', 'development', 'energy', 'countries', 'finance', 'action']","[""policy,reg.and climate finance devt scenarios for re in africa,with a focus on ethiopia's update ndc strengthening resilience for sustainable and just development in africa through implementing ndc: opportunities for adaptation planning; clean energy; finance; food security; industry; and land as well as carbon market"", 'china-africa partnership: climate change mitigation and adaption through bamboo development the transfer of knowledge and technology from china to africa is a successful tool for sustainable development in the bamboo sector. global experts will share their perspective, discuss and showcase effective and innovative cases in climate change mitigation and adaptation.', 'leadership on climate change adaptation: innovative solutions for stronger resilience leading experts will discuss how the private sector and governments can join forces and build capacity to support climate resilient development as part of the unfccc. building resilience should be central to all policies and activities on infrastructure, risk management and technology cooperation.']"
0,332,0_redd_forest_deforestation_indigenous,"['redd', 'forest', 'deforestation', 'indigenous', 'forests', 'amazon', 'monitoring', 'brazil', 'brazilian', 'carbon']","['developing redd+ safeguard systems: lessons from brazil, indonesia, cameroon and mexico with the unfccc language for redd+ safeguards defined, national and subnational redd+ actors are starting to design and build redd+ safeguards systems. panelists from governments and from the governance of forest initiative (gfi) will share promising experiences and debate on the main challenges.', 'looking forward: redd+ and the un-redd programme post-2015 a un system side event by the un-redd programme on the role of forests and a mechanism to reduce emissions from deforestation and forest degradation (redd+) to fight climate change and realize sustainable development. the 2016-2020 role and strategy of the un-redd programme will be highlighted.', 'redd realities: the gap between redd dreams and the real-life forest policies, taking into account t the event will present the results of an independent monitoring project on redd policy development in 9 different countries. it will also elaborate on the potential impacts of redd-projects like genetically modified tree plantations-on indigenous peoples, local communities and biodiversity.']"
1,190,1_food_agriculture_systems_food systems,"['food', 'agriculture', 'systems', 'food systems', 'security', 'food security', 'farmers', 'agricultural', 'livestock', 'climate']","['sustainable and healthy food systems and diets: addressing climate change while promoting health this event will explore how sustainable and healthy food systems and diets can address climate resilience, food and nutrition security and health. it will provide a forum to explore the co-benefits of sustainable & healthy food systems for the adoption of a climate justice and human rights approach.', 'climate resilience in food systems: why act now climate resiliency in food systems is key to obtain food security for the most vulnerable populations. at the same time, food systems have a significant impact on emissions, resource depletion and the welfare of ecosystems. the event will discuss ways to accelerate climate resilient food systems.', 'collaborating to scale up sustainable food systems in a changing climate systems impacts of climate change are most acutely felt in agricultural and hydrological systems. improved water productivity and agrobiodiversity are vital resources for food/nutrition security and for climate resilience. actors within food systems have stakes to ensure food security in a changing climate']"
2,148,2_energy_renewable_renewable energy_clean,"['energy', 'renewable', 'renewable energy', 'clean', 'renewables', 'electricity', 'wind', 'solar', '100', 'efficiency']","['international renewable energy alliance : a combined voice for renewable energy technology and practice. kent nystrã¶m, world bioenergy association and stefan gsã¤nger,world wind energy association will discuss delivering a renewable energy future.', ""the new energy revolution: a sustainable world energy outlook greenpeace, global wind energy council, european renewable energy council: a new scenario shows the energy sector changes needed to reduce co2 and tackle climate change. renewable energy, combined with energy efficiency and smart energy use can deliver half of the world's energy needs by 2050"", 'stronger together: showcasing success of renewable energy technologies working for energy transition international climate change mitigation requires a transition to renewable energies. renewable energy technologies support commitments to an equitable transformation to a renewable energy future. this event will show the strengths of renewables and energy storage and how they can be deployed faster.']"
3,147,3_rights_justice_human rights_human,"['rights', 'justice', 'human rights', 'human', 'law', 'climate justice', 'climate', 'legal', 'ethical', 'faith']","['building capacity for integrating human rights into climate action building capacity for integrating human rights into climate action – joint side event of paris committee on capacity-building, office of the united nations high commissioner for human rights and mary robinson foundation – climate justice.', 'human rights and climate justice - from the people to the highest court communities around the world are facing a climate emergency. the high level panel will discuss how an advisory opinion at the international court of justice can support the paris agreement in driving ambition, advance climate justice and intergenerational equity for our common future.', 'state of play in negotiations: equity and human rights in international climate change dialogue processes building on past efforts to drive climate justice agenda in international dialogue processes, this event will facilitate an exchange of views between governments and civil society on ways to deliver equity and protect human rights in accordance with international law.']"
4,140,4_gender_women_womens_equality,"['gender', 'women', 'womens', 'equality', 'gender equality', 'climate', 'justice', 'solutions', 'climate justice', 'genderresponsive']","['women for climate justice leading solutions on the frontlines of climate change grassroots and indigenous women leaders, and representatives of international organizations, will address solutions based in a climate justice framework, including forest and biodiversity protection, indigenous rights, agro-ecology, fossil fuel resistance, and protection of women land defenders.', 'gender and redd+ in the asia pacific: supporting champions for women’s leadership/ gender equality a gender and redd+ team has formed in asia/pacific region to champion women’s leadership and gender equality to address the neglect of gender issues within redd+. panelists will discuss ways in which redd+ projects can actively enhance the rights and position of rural women in the region.', 'no climate justice without gender equality and sexual and reproductive health and rights sharing research and experiences from asia and africa of the impact of climate change on gender equality and srhr whilst at the same time pointing to the importance of and positive experiences with implementing human rights-based climate actions that center women, girls and other marginalized groups']"
5,115,5_transport_shipping_aviation_emissions,"['transport', 'shipping', 'aviation', 'emissions', 'international', 'tourism', 'mobility', 'maritime', 'transport sector', 'sector']","['policy pathways for decarbonising transport this event will highlight the international transport forum’s decarbonising transport initiative’s outcomes and serve as a platform to foster an inclusive policy dialogue. policy pathways that will reduce carbon emissions from urban transport, road freight and maritime transport will be presented.', 'international aviation and maritime transport: addressing emissions from international bunker fuels icao will focus on its achievements and joint initiatives with other un bodies and the aviation industry on technical, operational and market-based measures. imo will highlight the third imo ghg study 2014, which provides shipping emissions estimates for the period 2007–2012 and projections to 2050.', 'mp transport- transport action event a session focused on identifying the challenges and opportunities inherent in the effort to transform transport and deliver meaningful climate action for resilient and sustainable transport and mobility systems.']"
6,112,6_china_low carbon_low_asia,"['china', 'low carbon', 'low', 'asia', 'carbon', 'chinas', 'development', 'lowcarbon', 'india', 'asian']","['achievement & experience sharing: china-u.s. ecopartnership for subnational low-carbon planning china’s gei & us’ ccs’ ecopartnership is an example of china-u.s. cooperation on subnational low carbon development planning to tackle policy & technical barriers to climate change solutions. senior chinese and u.s. officials, ngo leaders, and experts will discuss this framework for climate action.', 'low carbon development: an assessment of potentials for use of incentives in china the theme includes: (1) uk experiences of incentives approach to low carbon development and their relevance to china; (2) understanding the challenges: lessons learned from so2 emission trading in china; (3) assessing the potential of incentives to promote low carbon development in china', 'international insight on china & supporting chinese subnational governments achieve carbon targets an overview of china’s low-carbon green growth strategy and policies will be provided from a global perspective by editors of climate policy journal. senior chinese and us government, ngo, and academic leaders will discuss their collaboration on subnational low-carbon development in china.']"
7,102,7_cdm_cdm projects_project_projects,"['cdm', 'cdm projects', 'project', 'projects', 'poas', 'development', 'methodologies', 'flexible', 'experience', 'mechanism']","['clustering cdm german view on the potential of cdm project activities within the inherent bandwidth of the existing cdm regularities aiming to go beyond single project activities. the intent of this side event is to contribute to the full use of cdm without neglecting reform discussion for the time after 2012', 'programmatic cdm in china: how to realize the full cdm potential and its impacts scholars will introduce their latest findings on programmatic cdm studies, including latest p-cdm rules, p-cdm methodological issues, the impacts of global carbon market on p-cdm implementation, the potential of p-cdm, social and economic impacts of p-cdm and especially the p-cdm case studies', 'cdm eb side event: maximizing the value of the cdm pre-2020 with almost 8.000 cdm projects and close to 300 poas, cdm represents a unique ready-to-go mitigation opportunity. this side event explores ideas for ensuring that cdm projects and poas can continue to deliver real on-the-ground mitigation, and help increasing ambition under the paris agreement']"
8,99,8_action_climate_subnational_regional,"['action', 'climate', 'subnational', 'regional', 'climate action', 'governments', 'subnational governments', 'cooperative', 'international', 'leadership']","['from vision to action plan - raising the global level of ambition through national and local action the progress in the adp process is accelerating the global climate advocacy of local and subnational governments and their collaboration with national legislators. adoption of a 10-year action plan and its immediate implementation towards and beyond 2020 is the new goal in the lima-paris route.', 'the climate action reserve presents: “r20 - regions of climate action” subnational governments are demonstrating that they have the capacity and willingness to tackle climate change. governor arnold schwarzenegger and other subnational leaders will discuss how the r20 brings together subnational governments to implement low-carbon and climate resilient projects.', 'financing climate action at subnational level cancùn acknowledged the role of subnational governments in tackling climate change but did not provide them with sufficient financial mechanisms to support action. the climate group and nrg4sd convene governments and business to debate financing their domestic action and international cooperation.']"
