-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
30,5,0,4,1,1,4,2,14,3,1,0,0,0,4,0,0,0,0,0,0,0,1,0,4,0,10,0,0,10,1,1,0,0,1,1,0,0,3,0,0,1,0,2,2,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0
31,1,1,2,3,2,0,0,8,6,0,0,0,3,3,0,1,1,0,1,0,0,1,3,3,0,4,0,0,2,1,1,1,1,1,1,0,0,1,3,0,0,2,4,1,0,0,1,0,0,0,1,3,0,1,0,4,0,1,1,1,0,0,0
39,8,2,5,2,0,1,3,18,10,2,0,0,3,2,2,1,1,0,1,1,0,2,4,8,0,3,0,1,8,0,1,0,0,2,1,0,1,1,2,1,0,2,2,3,0,0,0,0,0,0,0,5,0,0,0,2,1,1,0,1,0,3,1
39,7,0,5,1,1,0,6,8,3,1,1,1,0,6,1,0,1,3,1,0,0,2,4,2,0,3,0,2,3,1,2,0,1,1,0,0,1,1,0,0,0,2,1,1,0,0,2,0,0,0,1,1,0,1,2,1,2,1,0,0,0,1,1
53,25,1,2,3,4,6,11,8,9,3,2,1,1,3,2,2,0,1,1,0,0,3,6,6,0,9,0,3,3,3,1,0,0,0,2,0,0,0,2,1,0,5,0,3,1,0,1,2,0,0,0,2,0,1,1,1,1,1,2,1,1,2,0
56,25,5,4,4,3,3,9,10,2,7,4,1,0,11,1,0,1,1,3,0,0,2,2,3,0,2,1,2,4,1,4,3,0,0,2,1,1,1,3,0,0,4,1,2,0,0,1,0,0,0,1,0,0,0,0,2,0,1,1,0,1,2,0
82,24,10,14,16,8,7,10,11,4,5,10,4,5,6,6,5,2,6,1,0,1,2,2,6,0,2,4,2,0,1,4,1,0,1,6,1,1,2,3,1,1,3,1,3,0,0,2,1,0,0,0,0,0,2,1,2,1,4,1,0,2,2,1
53,27,7,8,10,7,8,9,6,11,9,5,3,7,6,1,4,1,5,1,0,2,1,2,1,0,2,3,2,3,1,2,1,0,0,1,3,1,1,2,2,4,2,3,0,0,0,2,3,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0
83,23,10,5,4,12,4,14,3,4,4,4,3,5,1,0,2,1,3,0,3,1,0,0,0,0,2,1,5,1,2,1,0,0,0,1,4,1,1,1,0,0,0,3,0,1,0,0,0,1,0,1,2,2,0,1,1,1,1,0,0,2,0,2
59,25,12,9,4,4,5,6,4,3,4,3,1,3,6,0,1,1,4,1,4,1,1,2,1,0,1,1,0,1,1,3,4,0,2,0,6,7,3,1,0,1,2,2,1,0,0,2,1,1,1,2,1,0,1,2,1,0,1,0,0,0,0,2
50,10,4,8,4,6,4,4,0,5,6,1,1,4,5,0,1,0,1,2,2,0,0,6,2,1,0,1,3,0,0,2,2,0,4,1,6,2,0,2,2,0,0,2,1,0,1,1,0,3,0,2,1,4,0,1,0,1,0,1,1,0,1,0
50,22,5,6,4,6,4,5,3,4,8,3,1,9,2,2,4,1,3,2,2,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,5,0,1,1,0,3,0,1,0,0,0,0,1,2,0,2,0,4,1,1,1,1,0,1,0,0,0,0
58,15,8,9,6,5,5,10,1,4,3,4,3,2,1,3,5,1,3,0,4,0,2,0,0,1,0,4,3,1,2,1,1,0,3,1,3,4,1,0,1,2,1,1,0,0,2,0,2,3,4,1,0,4,1,1,0,2,1,4,0,0,0,0
93,14,12,9,7,6,5,3,1,1,1,3,4,5,1,1,6,3,4,2,3,5,3,2,2,1,0,2,1,0,1,3,1,6,6,0,2,4,2,0,3,2,2,1,1,1,1,0,1,2,4,1,0,3,2,1,0,0,1,1,4,0,0,1
111,21,29,17,11,11,19,7,1,5,14,7,12,2,5,3,8,10,2,6,6,6,6,4,2,2,0,3,1,0,1,4,3,5,0,3,1,0,2,2,2,3,1,0,2,4,1,3,4,5,4,2,0,2,0,1,0,1,1,1,1,3,2,1
86,14,10,9,9,10,8,5,1,9,8,2,4,4,1,1,3,7,4,5,5,5,6,5,2,0,2,5,2,0,1,1,3,10,0,3,0,1,1,1,3,1,0,1,0,2,1,1,2,2,3,2,1,1,4,1,1,0,0,0,4,0,1,2
76,17,12,8,9,12,6,0,2,3,5,4,10,8,2,7,2,8,6,4,4,7,1,2,2,3,0,6,1,0,4,0,3,3,3,3,0,0,1,2,5,3,0,0,4,1,1,2,1,2,1,2,0,0,0,1,0,1,0,1,1,1,0,2
91,18,14,6,8,9,7,1,1,5,1,6,7,4,2,9,5,2,1,4,4,3,3,1,1,16,0,1,0,0,2,1,2,4,1,2,0,0,2,0,3,2,0,0,1,2,4,0,3,0,2,1,0,0,4,1,0,1,0,1,0,1,0,1
120,14,26,10,20,17,11,3,1,6,9,13,9,3,1,8,5,10,3,6,3,9,5,2,0,10,0,3,6,0,4,2,1,2,2,2,0,5,5,3,2,3,0,0,0,7,6,3,1,0,2,1,0,0,0,2,0,2,2,0,1,2,1,0
91,17,22,8,21,16,8,4,1,2,8,16,10,4,3,13,3,5,5,10,9,7,6,0,0,10,1,5,1,0,8,1,8,1,6,2,0,2,1,2,2,0,0,0,0,5,7,2,0,0,0,0,0,0,1,1,1,3,0,1,1,2,1,1
