Year,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
2003,6,5,0,6,1,1,4,3,18,4,1,0,0,1,4,0,0,0,0,0,0,0,1,3,4,0,11,0,0,11,1,1,2,0,1,1,0,0,3,1,0,1,0,3,3,2,0,1,1,1,0,0,3,0,0,0,2,0,0,1,1,0,0,0
2004,11,1,1,4,3,2,0,1,12,7,0,0,0,3,3,0,2,1,0,1,0,1,1,5,3,0,7,0,0,3,1,1,1,1,2,1,0,0,2,3,0,0,2,4,1,0,0,1,0,0,0,1,3,0,1,1,4,0,1,2,1,0,0,0
2005,13,8,2,7,3,0,1,5,24,12,2,0,0,3,3,2,1,1,1,1,1,0,2,5,8,0,5,0,2,8,1,1,0,0,2,2,0,1,1,2,1,0,2,3,4,1,0,0,0,0,0,0,6,0,0,1,2,1,1,0,1,0,3,1
2006,12,8,0,8,1,1,1,7,12,4,1,2,1,0,6,1,1,2,4,1,0,0,2,5,2,1,5,0,4,4,1,2,0,1,1,0,0,1,1,0,0,0,2,1,1,1,0,2,0,0,0,2,1,0,2,2,2,2,1,0,0,0,1,2
2007,21,25,1,6,3,4,6,12,11,11,3,2,1,1,3,3,3,1,2,1,0,0,3,9,9,0,11,0,3,4,3,1,0,0,0,2,0,0,0,3,2,0,7,0,4,1,0,1,2,0,0,0,3,0,2,1,1,1,1,3,1,1,2,1
2008,24,25,6,7,4,3,3,11,12,3,8,4,1,0,14,1,1,1,2,4,0,0,2,6,3,1,3,1,3,4,1,4,5,0,1,2,1,1,1,4,0,0,4,2,3,0,0,1,0,0,0,1,0,0,1,0,2,1,1,1,0,1,2,1
2009,38,26,11,17,16,8,7,15,12,6,5,10,5,6,8,6,7,4,9,2,0,1,2,6,8,0,5,4,4,0,2,4,1,0,2,6,1,1,2,3,1,1,3,1,4,0,0,2,2,0,0,0,0,0,2,2,2,1,4,1,1,2,3,1
2010,18,28,7,9,10,7,8,17,7,13,12,5,3,7,7,1,4,2,6,2,0,2,1,5,1,0,3,3,2,4,2,3,1,0,2,1,4,1,1,2,2,4,3,4,0,0,0,2,3,2,0,1,1,0,0,1,1,1,1,1,0,1,0,0
2011,18,23,13,10,4,12,5,18,7,4,12,7,3,5,4,1,3,1,4,2,3,1,1,8,0,0,3,2,11,2,2,1,1,0,1,1,4,2,1,1,0,0,0,4,0,1,0,0,1,3,0,1,2,2,0,3,1,1,1,1,1,2,0,2
2012,14,26,12,11,4,4,6,11,5,5,6,3,1,3,10,0,1,1,6,1,4,1,1,7,1,0,2,1,1,2,1,6,4,0,3,0,8,7,3,1,1,1,2,3,1,0,2,2,1,2,1,2,1,3,1,3,1,0,1,0,0,0,0,4
2013,10,10,4,10,4,6,4,7,1,9,10,3,1,5,6,0,2,1,1,2,3,0,0,11,2,1,0,1,4,1,1,3,2,0,4,1,7,2,0,2,2,0,0,3,1,1,1,1,0,3,0,2,2,5,0,2,0,2,2,1,1,1,1,0
2014,11,23,9,8,4,6,4,8,3,5,10,6,1,10,5,2,4,1,3,2,3,1,1,5,1,0,2,2,1,0,1,0,1,0,3,1,6,0,1,1,1,3,0,1,0,0,1,0,2,2,2,2,0,4,2,1,1,1,0,1,0,1,0,0
2015,13,17,10,12,6,5,5,17,1,4,10,4,3,3,3,3,5,1,6,0,4,0,2,3,0,1,1,4,3,1,2,2,2,0,4,2,3,5,1,0,2,2,1,1,0,0,3,0,2,3,7,1,0,5,1,2,0,2,1,4,0,1,0,1
2016,19,15,12,14,7,6,5,11,1,2,9,4,4,7,2,1,7,5,7,2,3,8,4,3,2,1,1,3,1,0,3,3,3,14,8,0,2,4,2,0,5,2,2,2,2,1,3,0,2,3,11,1,0,4,3,1,0,1,1,2,4,0,0,2
2017,22,21,31,23,11,12,19,11,1,8,19,8,14,4,6,4,15,11,4,8,8,7,7,7,2,2,0,4,2,0,1,7,4,13,2,3,1,0,2,2,3,3,1,0,3,5,2,3,6,5,14,3,2,2,1,2,0,2,2,2,1,4,3,1
2018,16,15,11,16,11,10,10,11,1,10,16,2,4,4,3,1,3,9,6,5,9,7,6,6,2,2,3,6,4,0,2,1,4,14,2,3,0,1,1,1,4,1,0,1,1,3,1,1,2,2,10,2,1,1,5,1,1,0,0,3,4,1,1,2
2019,20,18,13,17,10,12,6,1,2,3,9,6,11,10,3,9,3,9,7,4,6,7,3,2,2,5,1,7,2,0,4,2,3,8,5,3,0,0,1,2,6,3,0,0,6,1,2,3,1,2,2,2,0,0,0,2,0,1,0,2,1,3,0,2
2021,32,18,14,8,10,9,7,5,1,6,6,7,8,4,2,11,9,4,3,8,6,3,6,1,1,21,0,1,0,0,3,2,2,5,1,2,0,0,2,0,4,2,0,0,1,2,6,0,3,0,4,1,0,2,4,2,0,1,2,3,0,4,0,2
2022,30,14,29,17,24,18,11,8,1,6,18,16,9,3,1,12,6,10,4,11,10,9,6,5,0,21,1,3,7,0,5,4,2,5,3,2,0,5,5,3,3,3,0,0,1,8,11,3,3,0,2,1,0,0,1,2,0,2,2,1,1,4,1,1
2023,29,17,26,11,24,16,9,4,1,3,15,18,10,4,5,13,6,5,6,14,10,8,7,2,0,16,3,6,1,0,9,3,10,2,6,2,0,2,2,2,4,0,0,0,0,5,9,2,0,1,0,0,0,0,1,1,2,4,1,1,1,3,1,2
