"word","variable","value"
"renewable energy","9",5
"fossil fuel","9",1
"energy efficiency","9",3
"energy transition","9",0
"clean energy","9",0
"just transition","9",0
"paris agreement","9",0
"sustainable energy","9",0
"renewable energy","10",2
"fossil fuel","10",0
"energy efficiency","10",2
"energy transition","10",0
"clean energy","10",0
"just transition","10",0
"paris agreement","10",0
"sustainable energy","10",0
"renewable energy","11",3
"fossil fuel","11",0
"energy efficiency","11",4
"energy transition","11",0
"clean energy","11",4
"just transition","11",0
"paris agreement","11",0
"sustainable energy","11",2
"renewable energy","12",2
"fossil fuel","12",0
"energy efficiency","12",2
"energy transition","12",0
"clean energy","12",4
"just transition","12",0
"paris agreement","12",0
"sustainable energy","12",1
"renewable energy","13",1
"fossil fuel","13",0
"energy efficiency","13",6
"energy transition","13",0
"clean energy","13",0
"just transition","13",0
"paris agreement","13",0
"sustainable energy","13",1
"renewable energy","14",9
"fossil fuel","14",0
"energy efficiency","14",5
"energy transition","14",1
"clean energy","14",1
"just transition","14",0
"paris agreement","14",0
"sustainable energy","14",2
"renewable energy","15",12
"fossil fuel","15",0
"energy efficiency","15",1
"energy transition","15",0
"clean energy","15",3
"just transition","15",0
"paris agreement","15",0
"sustainable energy","15",3
"renewable energy","16",1
"fossil fuel","16",0
"energy efficiency","16",1
"energy transition","16",0
"clean energy","16",2
"just transition","16",0
"paris agreement","16",0
"sustainable energy","16",0
"renewable energy","17",7
"fossil fuel","17",4
"energy efficiency","17",8
"energy transition","17",0
"clean energy","17",1
"just transition","17",0
"paris agreement","17",0
"sustainable energy","17",1
"renewable energy","18",9
"fossil fuel","18",2
"energy efficiency","18",3
"energy transition","18",2
"clean energy","18",3
"just transition","18",0
"paris agreement","18",0
"sustainable energy","18",2
"renewable energy","19",4
"fossil fuel","19",3
"energy efficiency","19",3
"energy transition","19",0
"clean energy","19",0
"just transition","19",1
"paris agreement","19",0
"sustainable energy","19",1
"renewable energy","20",1
"fossil fuel","20",3
"energy efficiency","20",2
"energy transition","20",0
"clean energy","20",2
"just transition","20",1
"paris agreement","20",0
"sustainable energy","20",3
"renewable energy","21",8
"fossil fuel","21",6
"energy efficiency","21",5
"energy transition","21",0
"clean energy","21",3
"just transition","21",0
"paris agreement","21",2
"sustainable energy","21",3
"renewable energy","22",14
"fossil fuel","22",8
"energy efficiency","22",5
"energy transition","22",0
"clean energy","22",5
"just transition","22",0
"paris agreement","22",1
"sustainable energy","22",1
"renewable energy","23",9
"fossil fuel","23",9
"energy efficiency","23",5
"energy transition","23",6
"clean energy","23",7
"just transition","23",1
"paris agreement","23",4
"sustainable energy","23",1
"renewable energy","24",8
"fossil fuel","24",15
"energy efficiency","24",2
"energy transition","24",3
"clean energy","24",2
"just transition","24",4
"paris agreement","24",6
"sustainable energy","24",1
"renewable energy","25",13
"fossil fuel","25",6
"energy efficiency","25",5
"energy transition","25",9
"clean energy","25",3
"just transition","25",4
"paris agreement","25",10
"sustainable energy","25",1
"renewable energy","26",4
"fossil fuel","26",9
"energy efficiency","26",2
"energy transition","26",10
"clean energy","26",6
"just transition","26",2
"paris agreement","26",3
"sustainable energy","26",0
"renewable energy","27",10
"fossil fuel","27",16
"energy efficiency","27",1
"energy transition","27",14
"clean energy","27",7
"just transition","27",15
"paris agreement","27",2
"sustainable energy","27",5
"renewable energy","28",12
"fossil fuel","28",22
"energy efficiency","28",0
"energy transition","28",18
"clean energy","28",4
"just transition","28",10
"paris agreement","28",2
"sustainable energy","28",0
