"word","variable","value"
"food system","9",0
"food security","9",0
"smart agriculture","9",0
"climate resilient","9",0
"climate smart","9",0
"climate finance","9",0
"sustainable food","9",0
"agrifood systems","9",0
"food system","10",0
"food security","10",0
"smart agriculture","10",0
"climate resilient","10",0
"climate smart","10",0
"climate finance","10",0
"sustainable food","10",0
"agrifood systems","10",0
"food system","11",0
"food security","11",0
"smart agriculture","11",0
"climate resilient","11",0
"climate smart","11",0
"climate finance","11",0
"sustainable food","11",0
"agrifood systems","11",0
"food system","12",0
"food security","12",0
"smart agriculture","12",0
"climate resilient","12",0
"climate smart","12",0
"climate finance","12",0
"sustainable food","12",0
"agrifood systems","12",0
"food system","13",0
"food security","13",0
"smart agriculture","13",0
"climate resilient","13",0
"climate smart","13",0
"climate finance","13",0
"sustainable food","13",0
"agrifood systems","13",0
"food system","14",0
"food security","14",3
"smart agriculture","14",0
"climate resilient","14",0
"climate smart","14",0
"climate finance","14",0
"sustainable food","14",0
"agrifood systems","14",0
"food system","15",0
"food security","15",4
"smart agriculture","15",0
"climate resilient","15",0
"climate smart","15",0
"climate finance","15",0
"sustainable food","15",0
"agrifood systems","15",0
"food system","16",1
"food security","16",3
"smart agriculture","16",2
"climate resilient","16",0
"climate smart","16",0
"climate finance","16",0
"sustainable food","16",0
"agrifood systems","16",0
"food system","17",0
"food security","17",12
"smart agriculture","17",3
"climate resilient","17",0
"climate smart","17",3
"climate finance","17",0
"sustainable food","17",1
"agrifood systems","17",0
"food system","18",1
"food security","18",9
"smart agriculture","18",4
"climate resilient","18",0
"climate smart","18",1
"climate finance","18",0
"sustainable food","18",0
"agrifood systems","18",0
"food system","19",0
"food security","19",1
"smart agriculture","19",3
"climate resilient","19",0
"climate smart","19",1
"climate finance","19",0
"sustainable food","19",0
"agrifood systems","19",0
"food system","20",0
"food security","20",4
"smart agriculture","20",4
"climate resilient","20",0
"climate smart","20",4
"climate finance","20",0
"sustainable food","20",0
"agrifood systems","20",0
"food system","21",1
"food security","21",7
"smart agriculture","21",1
"climate resilient","21",2
"climate smart","21",0
"climate finance","21",1
"sustainable food","21",1
"agrifood systems","21",0
"food system","22",3
"food security","22",5
"smart agriculture","22",1
"climate resilient","22",0
"climate smart","22",1
"climate finance","22",0
"sustainable food","22",1
"agrifood systems","22",0
"food system","23",7
"food security","23",11
"smart agriculture","23",2
"climate resilient","23",4
"climate smart","23",0
"climate finance","23",0
"sustainable food","23",1
"agrifood systems","23",0
"food system","24",5
"food security","24",2
"smart agriculture","24",1
"climate resilient","24",0
"climate smart","24",1
"climate finance","24",1
"sustainable food","24",0
"agrifood systems","24",0
"food system","25",16
"food security","25",1
"smart agriculture","25",1
"climate resilient","25",2
"climate smart","25",1
"climate finance","25",1
"sustainable food","25",3
"agrifood systems","25",0
"food system","26",10
"food security","26",2
"smart agriculture","26",0
"climate resilient","26",4
"climate smart","26",0
"climate finance","26",2
"sustainable food","26",0
"agrifood systems","26",2
"food system","27",31
"food security","27",6
"smart agriculture","27",0
"climate resilient","27",8
"climate smart","27",0
"climate finance","27",7
"sustainable food","27",2
"agrifood systems","27",2
"food system","28",21
"food security","28",8
"smart agriculture","28",0
"climate resilient","28",1
"climate smart","28",2
"climate finance","28",1
"sustainable food","28",2
"agrifood systems","28",6
