Source,Target,Type,Id,Label,Weight,se_code,title/description,source_name,target_name,new_topics_ctfidf
534,964,Undirected,13091,,0.333333,COP22-079,"fossil fuel supply and climate policy: key steps to enhance ambition achieving the 2°c goal requires keeping significant fossil fuel reserves in the ground. this event brings together experts and policy-makers to discuss ways for climate policy to address fossil fuel supply along with demand, and thus align energy strategies with climate and sustainability goals.",Stockholm Environment Institute (SEI),Overseas Development Institute (ODI),19
964,1519,Undirected,13092,,0.333333,COP22-079,"fossil fuel supply and climate policy: key steps to enhance ambition achieving the 2°c goal requires keeping significant fossil fuel reserves in the ground. this event brings together experts and policy-makers to discuss ways for climate policy to address fossil fuel supply along with demand, and thus align energy strategies with climate and sustainability goals.",Overseas Development Institute (ODI),Oil Change International (OCI),19
534,1519,Undirected,13093,,0.666667,COP24-155,"fossil fuel phase-out and an equitable and just transition: a necessary step towards the paris goals a growing number of parties and non-party stakeholders are taking action to align fossil fuel production with the paris agreement. panelists will discuss how measures such as extraction limits, transition plans, fossil fuel subsidies reform, and other developments can equitably increase ambition.",Stockholm Environment Institute (SEI),Oil Change International (OCI),19
41,859,Undirected,13094,,0.333333,COP24-043,"how can mdbs help countries develop and achieve energy access for all whilst meeting their ndcs? mdbs invest billions of dollars per year in fossil fuels, yet more than 1 billion people live without modern energy. shifting investment out of fossil fuels and into to sustainable, renewable energy would increase access to energy, and enable countries to meet their ndcs.",Swedish Society for Nature Conservation (SSNC),Pan African Climate Justice Alliance (PACJA),2
859,1011,Undirected,13095,,0.333333,COP24-043,"how can mdbs help countries develop and achieve energy access for all whilst meeting their ndcs? mdbs invest billions of dollars per year in fossil fuels, yet more than 1 billion people live without modern energy. shifting investment out of fossil fuels and into to sustainable, renewable energy would increase access to energy, and enable countries to meet their ndcs.",Pan African Climate Justice Alliance (PACJA),Christian Aid (CA),2
41,1011,Undirected,13096,,0.333333,COP24-043,"how can mdbs help countries develop and achieve energy access for all whilst meeting their ndcs? mdbs invest billions of dollars per year in fossil fuels, yet more than 1 billion people live without modern energy. shifting investment out of fossil fuels and into to sustainable, renewable energy would increase access to energy, and enable countries to meet their ndcs.",Swedish Society for Nature Conservation (SSNC),Christian Aid (CA),2
181,534,Undirected,13097,,0.1,COP25-024,"bridging the fossil fuel production gap: a key opportunity for enhanced ambition a new fossil fuel production gap report highlights the discrepancy between plans for coal, oil, and gas production and levels consistent with paris goals and provides a resource for closing this gap. a panel will explore findings, policy opportunities, and leadership in winding down production.",Center for International Climate and Environmental Research (CICERO),Stockholm Environment Institute (SEI),19
1223,534,Undirected,13098,,0.1,COP25-024,"bridging the fossil fuel production gap: a key opportunity for enhanced ambition a new fossil fuel production gap report highlights the discrepancy between plans for coal, oil, and gas production and levels consistent with paris goals and provides a resource for closing this gap. a panel will explore findings, policy opportunities, and leadership in winding down production.",University of Eastern Finland (UEF),Stockholm Environment Institute (SEI),19
615,534,Undirected,13099,,0.1,COP25-024,"bridging the fossil fuel production gap: a key opportunity for enhanced ambition a new fossil fuel production gap report highlights the discrepancy between plans for coal, oil, and gas production and levels consistent with paris goals and provides a resource for closing this gap. a panel will explore findings, policy opportunities, and leadership in winding down production.",University of Waterloo,Stockholm Environment Institute (SEI),19
181,615,Undirected,13100,,0.1,COP25-024,"bridging the fossil fuel production gap: a key opportunity for enhanced ambition a new fossil fuel production gap report highlights the discrepancy between plans for coal, oil, and gas production and levels consistent with paris goals and provides a resource for closing this gap. a panel will explore findings, policy opportunities, and leadership in winding down production.",Center for International Climate and Environmental Research (CICERO),University of Waterloo,19
181,1223,Undirected,13101,,0.1,COP25-024,"bridging the fossil fuel production gap: a key opportunity for enhanced ambition a new fossil fuel production gap report highlights the discrepancy between plans for coal, oil, and gas production and levels consistent with paris goals and provides a resource for closing this gap. a panel will explore findings, policy opportunities, and leadership in winding down production.",Center for International Climate and Environmental Research (CICERO),University of Eastern Finland (UEF),19
615,1223,Undirected,13102,,0.1,COP25-024,"bridging the fossil fuel production gap: a key opportunity for enhanced ambition a new fossil fuel production gap report highlights the discrepancy between plans for coal, oil, and gas production and levels consistent with paris goals and provides a resource for closing this gap. a panel will explore findings, policy opportunities, and leadership in winding down production.",University of Waterloo,University of Eastern Finland (UEF),19
181,133,Undirected,13103,,0.1,COP25-024,"bridging the fossil fuel production gap: a key opportunity for enhanced ambition a new fossil fuel production gap report highlights the discrepancy between plans for coal, oil, and gas production and levels consistent with paris goals and provides a resource for closing this gap. a panel will explore findings, policy opportunities, and leadership in winding down production.",Center for International Climate and Environmental Research (CICERO),Free University Amsterdam (VU),19
534,133,Undirected,13104,,0.1,COP25-024,"bridging the fossil fuel production gap: a key opportunity for enhanced ambition a new fossil fuel production gap report highlights the discrepancy between plans for coal, oil, and gas production and levels consistent with paris goals and provides a resource for closing this gap. a panel will explore findings, policy opportunities, and leadership in winding down production.",Stockholm Environment Institute (SEI),Free University Amsterdam (VU),19
1223,133,Undirected,13105,,0.1,COP25-024,"bridging the fossil fuel production gap: a key opportunity for enhanced ambition a new fossil fuel production gap report highlights the discrepancy between plans for coal, oil, and gas production and levels consistent with paris goals and provides a resource for closing this gap. a panel will explore findings, policy opportunities, and leadership in winding down production.",University of Eastern Finland (UEF),Free University Amsterdam (VU),19
615,133,Undirected,13106,,0.1,COP25-024,"bridging the fossil fuel production gap: a key opportunity for enhanced ambition a new fossil fuel production gap report highlights the discrepancy between plans for coal, oil, and gas production and levels consistent with paris goals and provides a resource for closing this gap. a panel will explore findings, policy opportunities, and leadership in winding down production.",University of Waterloo,Free University Amsterdam (VU),19
567,1519,Undirected,13107,,0.1,COP28-019,"a fast, fair, funded phase out of fossil fuels this side event will discuss the need for a cop28 energy transition package that includes a fair, fast, funded and full phase out of fossil fuels as well as a strong renewable energy deployment target and adequate finance.",Climate Analytics GmbH,Oil Change International (OCI),19
567,166,Undirected,13108,,0.1,COP28-019,"a fast, fair, funded phase out of fossil fuels this side event will discuss the need for a cop28 energy transition package that includes a fair, fast, funded and full phase out of fossil fuels as well as a strong renewable energy deployment target and adequate finance.",Climate Analytics GmbH,"Human Rights Watch, Inc. (HRW)",19
1519,166,Undirected,13109,,0.1,COP28-019,"a fast, fair, funded phase out of fossil fuels this side event will discuss the need for a cop28 energy transition package that includes a fair, fast, funded and full phase out of fossil fuels as well as a strong renewable energy deployment target and adequate finance.",Oil Change International (OCI),"Human Rights Watch, Inc. (HRW)",19
567,1769,Undirected,13110,,0.1,COP28-019,"a fast, fair, funded phase out of fossil fuels this side event will discuss the need for a cop28 energy transition package that includes a fair, fast, funded and full phase out of fossil fuels as well as a strong renewable energy deployment target and adequate finance.",Climate Analytics GmbH,Recourse,19
1519,1769,Undirected,13111,,0.433333,COP28-019,"a fast, fair, funded phase out of fossil fuels this side event will discuss the need for a cop28 energy transition package that includes a fair, fast, funded and full phase out of fossil fuels as well as a strong renewable energy deployment target and adequate finance.",Oil Change International (OCI),Recourse,19
166,1769,Undirected,13112,,0.1,COP28-019,"a fast, fair, funded phase out of fossil fuels this side event will discuss the need for a cop28 energy transition package that includes a fair, fast, funded and full phase out of fossil fuels as well as a strong renewable energy deployment target and adequate finance.","Human Rights Watch, Inc. (HRW)",Recourse,19
567,1430,Undirected,13113,,0.1,COP28-019,"a fast, fair, funded phase out of fossil fuels this side event will discuss the need for a cop28 energy transition package that includes a fair, fast, funded and full phase out of fossil fuels as well as a strong renewable energy deployment target and adequate finance.",Climate Analytics GmbH,Heinrich Böll Foundation (HBF),19
1519,1430,Undirected,13114,,0.1,COP28-019,"a fast, fair, funded phase out of fossil fuels this side event will discuss the need for a cop28 energy transition package that includes a fair, fast, funded and full phase out of fossil fuels as well as a strong renewable energy deployment target and adequate finance.",Oil Change International (OCI),Heinrich Böll Foundation (HBF),19
