Id,Label,clean_org,org_type,country_type,events,name,ff_nominator,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
534,,Stockholm Environment Institute (SEI),Constituency - Research and independent,Annex II,0.866667,Stockholm Environment Institute (SEI),0,7,1.733333,13,0.178383,0.254819,0.058185,0.347754
964,,Overseas Development Institute (ODI),Constituency - Research and independent,Annex II,0.333333,Overseas Development Institute (ODI),0,2,0.666667,13,0.173653,0.230599,0,0.182916
1519,,Oil Change International (OCI),Constituency - Environmental,Annex II,3.283333,Oil Change International (OCI),0,14,4.566667,12,0.203407,0.305096,0.137804,0.786774
41,,Swedish Society for Nature Conservation (SSNC),Constituency - Environmental,Annex II,0.666667,Swedish Society for Nature Conservation (SSNC),0,4,1.333333,14,0.163578,0.229187,0.079726,0.197566
859,,Pan African Climate Justice Alliance (PACJA),Constituency - Environmental,Non-Annex,0.333333,Pan African Climate Justice Alliance (PACJA),0,2,0.666667,14,0.159466,0.208556,0,0.085215
1011,,Christian Aid (CA),Constituency - Environmental,Annex II,1,Christian Aid (CA),0,6,2,13,0.183877,0.25876,0.085083,0.312003
181,,Center for International Climate and Environmental Research (CICERO),Constituency - Research and independent,Annex II,0.7,Center for International Climate and Environmental Research (CICERO),0,5,1.4,14,0.155436,0.214723,0.002943,0.195481
1223,,University of Eastern Finland (UEF),Constituency - Research and independent,Annex II,0.783333,University of Eastern Finland (UEF),0,9,1.566667,14,0.159216,0.233935,0.035407,0.286422
615,,University of Waterloo,Constituency - Research and independent,Annex II,0.2,University of Waterloo,0,4,0.4,14,0.155318,0.21226,0,0.18924
133,,Free University Amsterdam (VU),Constituency - Environmental,No match,0.533333,Free University Amsterdam (VU),0,6,1.066667,14,0.156154,0.22047,0.016739,0.218075
567,,Climate Analytics GmbH,Constituency - Research and independent,Annex II,0.2,Climate Analytics GmbH,0,4,0.4,12,0.18371,0.244969,0,0.31072
166,,"Human Rights Watch, Inc. (HRW)",Constituency - Others,Annex II,0.2,"Human Rights Watch, Inc. (HRW)",0,4,0.4,12,0.18371,0.244969,0,0.31072
1769,,Recourse,Constituency - Environmental,No match,0.533333,Recourse,0,5,1.066667,12,0.185388,0.251126,0.001214,0.341592
1430,,Heinrich Böll Foundation (HBF),Constituency - Environmental,Annex II,3.366667,Heinrich Böll Foundation (HBF),0,9,2.733333,11,0.201589,0.286268,0.131595,0.510299
595,,Tearfund,Constituency - Environmental,Annex II,0.666667,Tearfund,0,4,1.333333,13,0.173653,0.235666,0.008268,0.214292
1620,,Global Witness,Constituency - Environmental,Annex II,0.333333,Global Witness,0,2,0.666667,13,0.173653,0.230599,0,0.182916
607,,Earthworks,Constituency - Environmental,Annex II,0.583333,Earthworks,0,5,1.166667,13,0.182226,0.256619,0.020477,0.50751
1577,,Climate Action Network - Europe (CAN - Europe),Constituency - Environmental,Annex II,1.166667,Climate Action Network - Europe (CAN - Europe),0,5,2.333333,13,0.177758,0.247025,0.008331,0.273183
1570,,SustainUS,Constituency - Youth,Annex II,0.25,SustainUS,0,3,0.5,13,0.174099,0.237554,0,0.301445
627,,Rainforest Action Network (RAN),Constituency - Environmental,Annex II,1.116667,Rainforest Action Network (RAN),0,9,2.233333,13,0.179329,0.265633,0.013427,0.580623
1491,,Human Rights Foundation of Aotearoa New Zealand (HRF),Constituency - Research and independent,Annex II,0.833333,Human Rights Foundation of Aotearoa New Zealand (HRF),0,6,1.666667,13,0.178697,0.257094,0.008027,0.582871
847,,International Youth Nuclear Congress (IYNC),Constituency - Youth,Annex II,0.25,International Youth Nuclear Congress (IYNC),0,3,0.5,3,0.52381,0.606061,0,0.123785
655,,Saving Our Planet (SOP),Constituency - Environmental,Annex II,0.25,Saving Our Planet (SOP),0,3,0.5,3,0.52381,0.606061,0,0.123785
