Source,Target,Type,Id,Label,Weight,video_num,target_org,se_code,topics,source_org
0,1,Undirected,0,,0.035714,337,Climate Action Network International (CAN International),COP28-019,19,Oil Change International (OCI)
0,2,Undirected,1,,0.035714,337,Climate Analytics GmbH,COP28-019,19,Oil Change International (OCI)
0,3,Undirected,2,,0.035714,337,Indigenous Environmental Network,COP28-019,19,Oil Change International (OCI)
0,4,Undirected,3,,0.035714,337,Fossil Fuel Non-Proliferation Treaty Initiative,COP28-019,19,Oil Change International (OCI)
0,5,Undirected,4,,0.035714,337,International Indigenous Forum of Climate Change,COP28-019,19,Oil Change International (OCI)
0,6,Undirected,5,,0.035714,337,Don't Gas Africa,COP28-019,19,Oil Change International (OCI)
0,7,Undirected,6,,0.035714,337,"Human Rights Watch, Inc. (HRW)",COP28-019,19,Oil Change International (OCI)
1,2,Undirected,7,,0.035714,337,Climate Analytics GmbH,COP28-019,19,Climate Action Network International (CAN International)
1,3,Undirected,8,,0.035714,337,Indigenous Environmental Network,COP28-019,19,Climate Action Network International (CAN International)
1,4,Undirected,9,,0.202381,58,Fossil Fuel Non-Proliferation Treaty Initiative,COP28-339,19,Climate Action Network International (CAN International)
1,5,Undirected,10,,0.035714,337,International Indigenous Forum of Climate Change,COP28-019,19,Climate Action Network International (CAN International)
1,6,Undirected,11,,0.035714,337,Don't Gas Africa,COP28-019,19,Climate Action Network International (CAN International)
1,7,Undirected,12,,0.035714,337,"Human Rights Watch, Inc. (HRW)",COP28-019,19,Climate Action Network International (CAN International)
2,3,Undirected,13,,0.035714,337,Indigenous Environmental Network,COP28-019,19,Climate Analytics GmbH
2,4,Undirected,14,,0.035714,337,Fossil Fuel Non-Proliferation Treaty Initiative,COP28-019,19,Climate Analytics GmbH
2,5,Undirected,15,,0.035714,337,International Indigenous Forum of Climate Change,COP28-019,19,Climate Analytics GmbH
2,6,Undirected,16,,0.035714,337,Don't Gas Africa,COP28-019,19,Climate Analytics GmbH
2,7,Undirected,17,,0.035714,337,"Human Rights Watch, Inc. (HRW)",COP28-019,19,Climate Analytics GmbH
3,4,Undirected,18,,0.035714,337,Fossil Fuel Non-Proliferation Treaty Initiative,COP28-019,19,Indigenous Environmental Network
3,5,Undirected,19,,0.035714,337,International Indigenous Forum of Climate Change,COP28-019,19,Indigenous Environmental Network
3,6,Undirected,20,,0.035714,337,Don't Gas Africa,COP28-019,19,Indigenous Environmental Network
3,7,Undirected,21,,0.035714,337,"Human Rights Watch, Inc. (HRW)",COP28-019,19,Indigenous Environmental Network
4,5,Undirected,22,,0.035714,337,International Indigenous Forum of Climate Change,COP28-019,19,Fossil Fuel Non-Proliferation Treaty Initiative
4,6,Undirected,23,,0.035714,337,Don't Gas Africa,COP28-019,19,Fossil Fuel Non-Proliferation Treaty Initiative
4,7,Undirected,24,,0.035714,337,"Human Rights Watch, Inc. (HRW)",COP28-019,19,Fossil Fuel Non-Proliferation Treaty Initiative
5,6,Undirected,25,,0.035714,337,Don't Gas Africa,COP28-019,19,International Indigenous Forum of Climate Change
5,7,Undirected,26,,0.035714,337,"Human Rights Watch, Inc. (HRW)",COP28-019,19,International Indigenous Forum of Climate Change
6,7,Undirected,27,,0.035714,337,"Human Rights Watch, Inc. (HRW)",COP28-019,19,Don't Gas Africa
8,9,Undirected,28,,0.047619,299,Association Française des Entreprises pour l'Environnement (EpE),COP28-036,2,World Union of Small and Medium Enterprises (WUSME)
8,10,Undirected,29,,0.047619,299,Regional Center for Renewable Energy and Energy Efficiency (RCREEE),COP28-036,2,World Union of Small and Medium Enterprises (WUSME)
8,11,Undirected,30,,0.047619,299,Solar Impulse Foundation,COP28-036,2,World Union of Small and Medium Enterprises (WUSME)
8,12,Undirected,31,,0.047619,299,United Nations Industrial Development Organization (UNIDO),COP28-036,2,World Union of Small and Medium Enterprises (WUSME)
8,14,Undirected,32,,0.047619,299,Engie S.A.,COP28-036,2,World Union of Small and Medium Enterprises (WUSME)
8,15,Undirected,33,,0.047619,299,Veolia,COP28-036,2,World Union of Small and Medium Enterprises (WUSME)
9,10,Undirected,34,,0.047619,299,Regional Center for Renewable Energy and Energy Efficiency (RCREEE),COP28-036,2,Association Française des Entreprises pour l'Environnement (EpE)
9,11,Undirected,35,,0.047619,299,Solar Impulse Foundation,COP28-036,2,Association Française des Entreprises pour l'Environnement (EpE)
9,12,Undirected,36,,0.047619,299,United Nations Industrial Development Organization (UNIDO),COP28-036,2,Association Française des Entreprises pour l'Environnement (EpE)
9,14,Undirected,37,,0.047619,299,Engie S.A.,COP28-036,2,Association Française des Entreprises pour l'Environnement (EpE)
9,15,Undirected,38,,0.047619,299,Veolia,COP28-036,2,Association Française des Entreprises pour l'Environnement (EpE)
10,11,Undirected,39,,0.047619,299,Solar Impulse Foundation,COP28-036,2,Regional Center for Renewable Energy and Energy Efficiency (RCREEE)
10,12,Undirected,40,,0.047619,299,United Nations Industrial Development Organization (UNIDO),COP28-036,2,Regional Center for Renewable Energy and Energy Efficiency (RCREEE)
10,14,Undirected,41,,0.047619,299,Engie S.A.,COP28-036,2,Regional Center for Renewable Energy and Energy Efficiency (RCREEE)
10,15,Undirected,42,,0.047619,299,Veolia,COP28-036,2,Regional Center for Renewable Energy and Energy Efficiency (RCREEE)
11,12,Undirected,43,,0.047619,299,United Nations Industrial Development Organization (UNIDO),COP28-036,2,Solar Impulse Foundation
11,14,Undirected,44,,0.047619,299,Engie S.A.,COP28-036,2,Solar Impulse Foundation
11,15,Undirected,45,,0.047619,299,Veolia,COP28-036,2,Solar Impulse Foundation
12,14,Undirected,46,,0.047619,299,Engie S.A.,COP28-036,2,United Nations Industrial Development Organization (UNIDO)
12,15,Undirected,47,,0.047619,299,Veolia,COP28-036,2,United Nations Industrial Development Organization (UNIDO)
14,15,Undirected,48,,0.047619,299,Veolia,COP28-036,2,Engie S.A.
16,17,Undirected,49,,0.1,307,Academia Sinica,COP28-046,62,JW Eco-Technology
16,18,Undirected,50,,0.1,307,Client II,COP28-046,62,JW Eco-Technology
16,19,Undirected,51,,0.1,307,JOOSI,COP28-046,62,JW Eco-Technology
16,20,Undirected,52,,0.1,307,EnerSHelF,COP28-046,62,JW Eco-Technology
17,18,Undirected,53,,0.1,307,Client II,COP28-046,62,Academia Sinica
17,19,Undirected,54,,0.1,307,JOOSI,COP28-046,62,Academia Sinica
17,20,Undirected,55,,0.1,307,EnerSHelF,COP28-046,62,Academia Sinica
18,19,Undirected,56,,0.1,307,JOOSI,COP28-046,62,Client II
18,20,Undirected,57,,0.1,307,EnerSHelF,COP28-046,62,Client II
19,20,Undirected,58,,0.1,307,EnerSHelF,COP28-046,62,JOOSI
1,22,Undirected,59,,0.1,289,World Wind Energy Association (WWEA),COP28-047,2,Climate Action Network International (CAN International)
1,23,Undirected,60,,0.1,289,International Solar Energy Society e.V. (ISES),COP28-047,2,Climate Action Network International (CAN International)
1,24,Undirected,61,,0.1,289,World Bioenergy Association (WBA),COP28-047,2,Climate Action Network International (CAN International)
1,25,Undirected,62,,0.1,289,International Hydropower Association (IHA),COP28-047,2,Climate Action Network International (CAN International)
22,23,Undirected,63,,0.1,289,International Solar Energy Society e.V. (ISES),COP28-047,2,World Wind Energy Association (WWEA)
22,24,Undirected,64,,0.1,289,World Bioenergy Association (WBA),COP28-047,2,World Wind Energy Association (WWEA)
22,25,Undirected,65,,0.1,289,International Hydropower Association (IHA),COP28-047,2,World Wind Energy Association (WWEA)
23,24,Undirected,66,,0.1,289,World Bioenergy Association (WBA),COP28-047,2,International Solar Energy Society e.V. (ISES)
23,25,Undirected,67,,0.1,289,International Hydropower Association (IHA),COP28-047,2,International Solar Energy Society e.V. (ISES)
24,25,Undirected,68,,0.1,289,International Hydropower Association (IHA),COP28-047,2,World Bioenergy Association (WBA)
26,27,Undirected,69,,0.1,327,California Attorney General,COP28-050,19,Center for Biological Diversity (CBD)
26,28,Undirected,70,,0.1,327,Global Alliance for the Rights of Nature (GARN),COP28-050,19,Center for Biological Diversity (CBD)
26,29,Undirected,71,,0.1,327,Centre for Development and Environment (CDE),COP28-050,19,Center for Biological Diversity (CBD)
26,30,Undirected,72,,0.1,327,Port Arthur Community Action Network (PACAN),COP28-050,19,Center for Biological Diversity (CBD)
27,28,Undirected,73,,0.1,327,Global Alliance for the Rights of Nature (GARN),COP28-050,19,California Attorney General
27,29,Undirected,74,,0.1,327,Centre for Development and Environment (CDE),COP28-050,19,California Attorney General
27,30,Undirected,75,,0.1,327,Port Arthur Community Action Network (PACAN),COP28-050,19,California Attorney General
28,29,Undirected,76,,0.1,327,Centre for Development and Environment (CDE),COP28-050,19,Global Alliance for the Rights of Nature (GARN)
28,30,Undirected,77,,0.1,327,Port Arthur Community Action Network (PACAN),COP28-050,19,Global Alliance for the Rights of Nature (GARN)
29,30,Undirected,78,,0.1,327,Port Arthur Community Action Network (PACAN),COP28-050,19,Centre for Development and Environment (CDE)
31,32,Undirected,79,,0.047619,205,Iran Renewable Energy Association (IrREA),COP28-096,19,Australian National University (ANU)
31,33,Undirected,80,,0.047619,205,Iranian Research Organization for Science and Technology (IROST),COP28-096,19,Australian National University (ANU)
31,34,Undirected,81,,0.047619,205,Araz Silicon Industries,COP28-096,19,Australian National University (ANU)
31,35,Undirected,82,,0.047619,205,University of Oxford,COP28-096,19,Australian National University (ANU)
31,36,Undirected,83,,0.047619,205,Columbia University,COP28-096,19,Australian National University (ANU)
31,37,Undirected,84,,0.047619,205,Center for International Climate and Environmental Research (CICERO),COP28-096,19,Australian National University (ANU)
32,33,Undirected,85,,0.047619,205,Iranian Research Organization for Science and Technology (IROST),COP28-096,19,Iran Renewable Energy Association (IrREA)
32,34,Undirected,86,,0.047619,205,Araz Silicon Industries,COP28-096,19,Iran Renewable Energy Association (IrREA)
32,35,Undirected,87,,0.047619,205,University of Oxford,COP28-096,19,Iran Renewable Energy Association (IrREA)
32,36,Undirected,88,,0.047619,205,Columbia University,COP28-096,19,Iran Renewable Energy Association (IrREA)
32,37,Undirected,89,,0.047619,205,Center for International Climate and Environmental Research (CICERO),COP28-096,19,Iran Renewable Energy Association (IrREA)
33,34,Undirected,90,,0.047619,205,Araz Silicon Industries,COP28-096,19,Iranian Research Organization for Science and Technology (IROST)
33,35,Undirected,91,,0.047619,205,University of Oxford,COP28-096,19,Iranian Research Organization for Science and Technology (IROST)
33,36,Undirected,92,,0.047619,205,Columbia University,COP28-096,19,Iranian Research Organization for Science and Technology (IROST)
33,37,Undirected,93,,0.047619,205,Center for International Climate and Environmental Research (CICERO),COP28-096,19,Iranian Research Organization for Science and Technology (IROST)
34,35,Undirected,94,,0.047619,205,University of Oxford,COP28-096,19,Araz Silicon Industries
34,36,Undirected,95,,0.047619,205,Columbia University,COP28-096,19,Araz Silicon Industries
34,37,Undirected,96,,0.047619,205,Center for International Climate and Environmental Research (CICERO),COP28-096,19,Araz Silicon Industries
35,36,Undirected,97,,0.047619,205,Columbia University,COP28-096,19,University of Oxford
35,37,Undirected,98,,0.047619,205,Center for International Climate and Environmental Research (CICERO),COP28-096,19,University of Oxford
36,37,Undirected,99,,0.047619,205,Center for International Climate and Environmental Research (CICERO),COP28-096,19,Columbia University
38,39,Undirected,100,,0.018182,178,Global Wind Energy Council (GWEC),COP28-099,2,International Renewable Energy Agency (IRENA)
38,40,Undirected,101,,0.018182,178,Solutions for Our Climate (SFOC),COP28-099,2,International Renewable Energy Agency (IRENA)
38,41,Undirected,102,,0.018182,178,Republic of Korea,COP28-099,2,International Renewable Energy Agency (IRENA)
38,42,Undirected,103,,0.018182,178,Third Generation Environmentalism (E3G),COP28-099,2,International Renewable Energy Agency (IRENA)
38,43,Undirected,104,,0.018182,178,Iniciativa Climática de Mexico (ICM),COP28-099,2,International Renewable Energy Agency (IRENA)
38,44,Undirected,105,,0.018182,178,Danish Energy Agency (DEA),COP28-099,2,International Renewable Energy Agency (IRENA)
38,45,Undirected,106,,0.018182,178,LG Energy Solutions,COP28-099,2,International Renewable Energy Agency (IRENA)
38,46,Undirected,107,,0.018182,178,Renewable Energy Institute,COP28-099,2,International Renewable Energy Agency (IRENA)
38,47,Undirected,108,,0.018182,178,Chalmers University of Technology,COP28-099,2,International Renewable Energy Agency (IRENA)
38,48,Undirected,109,,0.018182,178,Zhejiang University,COP28-099,2,International Renewable Energy Agency (IRENA)
39,40,Undirected,110,,0.018182,178,Solutions for Our Climate (SFOC),COP28-099,2,Global Wind Energy Council (GWEC)
39,41,Undirected,111,,0.018182,178,Republic of Korea,COP28-099,2,Global Wind Energy Council (GWEC)
39,42,Undirected,112,,0.018182,178,Third Generation Environmentalism (E3G),COP28-099,2,Global Wind Energy Council (GWEC)
39,43,Undirected,113,,0.018182,178,Iniciativa Climática de Mexico (ICM),COP28-099,2,Global Wind Energy Council (GWEC)
39,44,Undirected,114,,0.018182,178,Danish Energy Agency (DEA),COP28-099,2,Global Wind Energy Council (GWEC)
39,45,Undirected,115,,0.018182,178,LG Energy Solutions,COP28-099,2,Global Wind Energy Council (GWEC)
39,46,Undirected,116,,0.018182,178,Renewable Energy Institute,COP28-099,2,Global Wind Energy Council (GWEC)
39,47,Undirected,117,,0.018182,178,Chalmers University of Technology,COP28-099,2,Global Wind Energy Council (GWEC)
39,48,Undirected,118,,0.018182,178,Zhejiang University,COP28-099,2,Global Wind Energy Council (GWEC)
40,41,Undirected,119,,0.018182,178,Republic of Korea,COP28-099,2,Solutions for Our Climate (SFOC)
40,42,Undirected,120,,0.018182,178,Third Generation Environmentalism (E3G),COP28-099,2,Solutions for Our Climate (SFOC)
40,43,Undirected,121,,0.018182,178,Iniciativa Climática de Mexico (ICM),COP28-099,2,Solutions for Our Climate (SFOC)
