Id,Label,type,eigencentrality,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,triangles,badge,Weighted Degree,Degree
1,Bosnia and Herzegovina,Nominator,0.035339,18,5,0.322581,0.374167,0,0.006818,0.006818,0.013393,0,10,Party Overflow/Party,6,5
2,Brazil,Nominator,0.010609,0,5,0.294118,0.314167,0,0.00353,0.00353,0.00453,0,0,Party Overflow/Party,20,1
3,Kazakhstan,Nominator,0.040143,11,5,0.340909,0.3775,0,0.012984,0.012984,0.008871,0,3,Party Overflow/Party,5,3
4,Morocco,Nominator,0.103892,19,5,0.408163,0.462222,0,0.035152,0.035152,0.010858,0,6,Party Overflow/Party,272,4
5,Nigeria,Nominator,0.349813,16,4,0.472441,0.522222,0,0.127258,0.127258,0.012511,0,21,Party Overflow/Party,15,7
6,Romania,Nominator,0,1,0,0,0,0,0,0,0.00219,1,0,Party Overflow/Party,0,0
7,Russian Federation,Nominator,0.076808,19,5,0.4,0.437222,0,0.027149,0.027149,0.003924,0,0,Party Overflow/Party,21,1
8,Togo,Nominator,0.398857,11,4,0.491803,0.547222,0,0.142368,0.142368,0.01587,0,36,Party Overflow/Party,36,9
9,Argentina,Nominator,0.131396,19,5,0.41958,0.467778,0,0.046069,0.046069,0.007877,0,3,Party Overflow/Party,6,3
10,Australia,Nominator,0.444009,16,4,0.47619,0.536111,0,0.162523,0.162523,0.01505,0,36,Party Overflow/Party,12,9
11,Austria,Nominator,0.076808,19,5,0.4,0.437222,0,0.027149,0.027149,0.003924,0,0,Party Overflow/Party,3,1
12,Belgium,Nominator,0,2,0,0,0,0,0,0,0.00219,2,0,Party Overflow/Party,0,0
13,Bhutan,Nominator,0.040143,11,5,0.340909,0.3775,0,0.012984,0.012984,0.008871,0,3,Party Overflow/Party,5,3
14,Canada,Nominator,0.13285,19,5,0.422535,0.476111,59,0.046317,0.046317,0.011601,0,3,Party Overflow/Party,11,4
15,China,Nominator,0.001045,3,1,1,1,0,0,0,0.014599,3,0,Party Overflow/Party,9,1
16,Colombia,Nominator,0.103892,19,5,0.408163,0.462222,0,0.035152,0.035152,0.010858,0,6,Party Overflow/Party,41,4
